,page_content,metadata
0,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
Du Tran-Ngoc *Viettel Semiconductor Center* Hanoi, Vietnam dutn1@viettel.com.vn  
Quang Le-Hoang-Minh *Viettel Semiconductor Center* Hanoi, Vietnam quanglhm@viettel.com.vn  
Trung Quang-Dong\* *Viettel Semiconductor Center* Hanoi, Vietnam trungdq8@viettel.com.vn  
Thang Nguyen-Minh\* *Viettel Semiconductor Center* Hanoi, Vietnam thangnm35@viettel.com.vn  
*Abstract*—Quantization-Aware Training QAT has gained significant attention thanks to reduced memory usage and accelerated inference","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
1,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
*Abstract*—Quantization-Aware Training QAT has gained significant attention thanks to reduced memory usage and accelerated inference, which are achieved by transforming fullprecision models to low-bit integer formats while preserving accuracy. However, applying QAT to ultra-low precision (e.g","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
2,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
However, applying QAT to ultra-low precision (e.g., 4-bit or 3-bit) can lead to severe accuracy degradation due to the improper weights and quantization parameters during training. In this paper, we present a comprehensive analysis of the root causes of accuracy degradation in low-bit QAT. Based on the analysis, we propose three novel techniques — Gradient Scaling-Aware Distance, EMA-Aware Distance","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
3,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
Based on the analysis, we propose three novel techniques — Gradient Scaling-Aware Distance, EMA-Aware Distance, and Adaptive Fine-Tuning Weight that effectively mitigate quantization noise without adding inference overhead. Experimental results demonstrate that our method outperforms existing QAT approaches. In 4-bit quantization, our method reduces quantization errors by approximately 2% on the object detection task for MS COCO and 0","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
4,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
In 4-bit quantization, our method reduces quantization errors by approximately 2% on the object detection task for MS COCO and 0.7% on image classification for ImageNet1k.  
*Index Terms*—Quantization-aware training, Oscillation, Deep Neural Network","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
5,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models
Type: text
Content:
*Index Terms*—Quantization-aware training, Oscillation, Deep Neural Network","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
6,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
In recent years, the increasing demand to deploy deep neural networks (DNNs) on resource-constrained devices has gained attention into model compression techniques [1] [2] [3]. Quantization, which reduces the precision of the model's weights and activations, has proven to be an effective approach for improving model performance. Although quantization offers benefits in computational efficiency and reduced latency","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
7,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
Although quantization offers benefits in computational efficiency and reduced latency, it introduces quantization noise due to lowered numerical precision. However, Post-training quantization (PTQ) [4] can effectively reduce model precision to 8 bits with minimal accuracy drop. PTQ requires only a small calibration dataset to find quantization parameters, but accuracy performance deteriorates significantly with fewer bits, e.g","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
8,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
PTQ requires only a small calibration dataset to find quantization parameters, but accuracy performance deteriorates significantly with fewer bits, e.g., 4 bits, 3 bits.  
To overcome the limitations of PTQ, Quantization-Aware Training (QAT) [5] has been proposed","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
9,"Section: Stability-Driven Quantization-Aware Training for Low-Bit Models > I. INTRODUCTION
Type: text
Content:
To overcome the limitations of PTQ, Quantization-Aware Training (QAT) [5] has been proposed. By inserting virtual quantization layers into DNN, QAT integrates quantization effects into the training process to maintain high accuracy even at low bit widths. Due to the non-differentiable rounding operation of virtual quantization","{'Header 1': 'Stability-Driven Quantization-Aware Training for Low-Bit Models', 'Header 4': 'I. INTRODUCTION', 'document_file': '/data/AIRACE/arxiv_rag/output/paper/paper.md', 'type': 'text'}"
